Population Size,Generations,Mutation Rate,Elitism Rate,Crossover Type,Final Distance,Solution Time,Gap to Optimal (%),Best Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,1000,0.05,0.05,edge,966.5917594376632,228.94406533241272,22.02878109689646,"[29, 94, 67, 53, 88, 47, 62, 6, 22, 77, 13, 44, 84, 33, 65, 4, 0, 20, 9, 82, 3, 91, 55, 93, 69, 87, 36, 12, 46, 37, 70, 73, 41, 16, 66, 64, 57, 49, 99, 75, 30, 85, 48, 43, 38, 19, 14, 18, 10, 32, 15, 2, 90, 27, 60, 61, 51, 7, 31, 86, 97, 54, 26, 71, 81, 96, 35, 63, 68, 50, 80, 28, 83, 52, 58, 8, 45, 5, 78, 17, 76, 89, 24, 40, 59, 98, 56, 72, 42, 95, 92, 25, 11, 34, 39, 1, 79, 21, 74, 23]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2000,0.05,0.05,edge,966.5917594376632,453.1333408355713,22.02878109689646,"[29, 94, 67, 53, 88, 47, 62, 6, 22, 77, 13, 44, 84, 33, 65, 4, 0, 20, 9, 82, 3, 91, 55, 93, 69, 87, 36, 12, 46, 37, 70, 73, 41, 16, 66, 64, 57, 49, 99, 75, 30, 85, 48, 43, 38, 19, 14, 18, 10, 32, 15, 2, 90, 27, 60, 61, 51, 7, 31, 86, 97, 54, 26, 71, 81, 96, 35, 63, 68, 50, 80, 28, 83, 52, 58, 8, 45, 5, 78, 17, 76, 89, 24, 40, 59, 98, 56, 72, 42, 95, 92, 25, 11, 34, 39, 1, 79, 21, 74, 23]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1000,0.1,0.05,erx,970.9291968002098,105.52456474304199,22.576367178887907,"[37, 55, 36, 12, 38, 19, 14, 18, 85, 43, 48, 30, 75, 99, 49, 57, 66, 64, 32, 15, 10, 2, 90, 27, 60, 61, 46, 51, 7, 70, 31, 73, 41, 16, 54, 97, 86, 71, 81, 96, 26, 35, 63, 68, 50, 53, 88, 47, 62, 23, 22, 77, 79, 21, 29, 94, 67, 80, 45, 28, 8, 83, 52, 58, 78, 17, 76, 89, 5, 74, 39, 34, 92, 95, 40, 72, 42, 25, 1, 84, 6, 13, 44, 33, 65, 11, 4, 56, 59, 98, 0, 20, 69, 9, 82, 3, 91, 93, 87, 24]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1000,0.1,0.05,edge,971.0769359798697,106.25206756591797,22.59501872628435,"[24, 40, 56, 72, 95, 92, 42, 25, 11, 34, 1, 39, 21, 79, 23, 47, 62, 6, 22, 77, 13, 44, 84, 33, 65, 4, 98, 0, 59, 69, 20, 9, 82, 3, 91, 87, 93, 55, 36, 12, 38, 43, 48, 85, 30, 75, 64, 57, 99, 49, 66, 41, 16, 54, 97, 86, 26, 96, 35, 81, 71, 28, 68, 63, 50, 80, 45, 94, 5, 8, 73, 31, 70, 89, 74, 29, 53, 88, 67, 83, 52, 58, 78, 17, 76, 7, 51, 60, 19, 14, 18, 10, 32, 15, 2, 90, 27, 61, 46, 37]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2000,0.05,0.05,erx,973.5365283996614,192.90682411193848,22.905533545029503,"[84, 79, 21, 74, 29, 53, 88, 47, 62, 23, 77, 22, 6, 13, 44, 33, 65, 4, 98, 0, 20, 59, 56, 72, 40, 24, 37, 60, 51, 7, 27, 70, 76, 89, 87, 69, 9, 82, 3, 91, 93, 55, 36, 12, 46, 61, 19, 85, 38, 43, 48, 30, 75, 14, 18, 90, 2, 10, 15, 32, 64, 57, 99, 49, 66, 41, 16, 97, 54, 71, 86, 73, 31, 17, 78, 58, 52, 83, 8, 45, 80, 50, 63, 35, 26, 96, 81, 28, 68, 67, 94, 5, 92, 95, 42, 25, 11, 34, 39, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1000,0.05,0.1,erx,980.3879018,101.52971243858337,23.77049513596656,"[97, 71, 81, 96, 26, 35, 63, 50, 68, 28, 45, 80, 67, 47, 88, 53, 5, 94, 29, 74, 21, 79, 1, 39, 34, 25, 95, 92, 40, 72, 42, 11, 84, 77, 22, 23, 62, 6, 13, 44, 33, 65, 4, 98, 56, 59, 20, 0, 9, 69, 87, 82, 3, 91, 43, 85, 48, 19, 14, 38, 12, 55, 93, 36, 46, 61, 60, 18, 10, 66, 57, 49, 99, 75, 30, 64, 32, 15, 2, 90, 31, 27, 7, 51, 37, 24, 89, 76, 70, 17, 78, 8, 83, 52, 58, 86, 73, 41, 16, 54]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2000,0.05,0.05,edge,983.8810914409845,181.30347061157227,24.211497936498198,"[47, 8, 58, 52, 83, 28, 86, 73, 31, 27, 60, 61, 19, 46, 37, 70, 7, 51, 24, 59, 98, 56, 40, 95, 39, 79, 1, 25, 42, 72, 11, 33, 65, 4, 0, 20, 69, 87, 9, 82, 3, 91, 93, 55, 36, 12, 38, 43, 48, 75, 30, 85, 14, 18, 90, 2, 10, 15, 32, 64, 57, 99, 49, 66, 41, 16, 54, 97, 71, 81, 96, 26, 35, 63, 68, 50, 80, 45, 67, 88, 53, 94, 5, 78, 17, 76, 89, 92, 34, 84, 44, 13, 6, 22, 77, 23, 21, 74, 29, 62]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2000,0.1,0.1,erx,989.1051426600434,183.1152400970459,24.87101587302642,"[33, 65, 4, 98, 0, 59, 56, 40, 36, 55, 93, 87, 69, 20, 9, 82, 3, 91, 12, 38, 43, 48, 30, 75, 15, 10, 32, 64, 99, 49, 57, 66, 16, 41, 73, 17, 89, 76, 70, 31, 27, 7, 51, 90, 2, 18, 14, 85, 19, 60, 61, 46, 37, 24, 92, 95, 72, 42, 25, 11, 34, 1, 39, 21, 74, 29, 94, 53, 88, 67, 45, 8, 5, 78, 58, 52, 83, 28, 68, 81, 96, 71, 86, 97, 54, 26, 35, 63, 50, 80, 47, 62, 23, 79, 77, 22, 6, 13, 44, 84]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1000,0.05,0.1,edge,999.1299803338195,96.33755517,26.136616070918485,"[34, 11, 65, 25, 95, 92, 72, 42, 1, 79, 77, 23, 62, 22, 6, 13, 44, 84, 33, 4, 98, 0, 59, 56, 40, 87, 69, 20, 9, 82, 3, 91, 93, 55, 36, 12, 38, 46, 37, 24, 61, 18, 14, 75, 30, 43, 48, 85, 19, 60, 70, 31, 86, 73, 27, 7, 51, 90, 2, 10, 15, 32, 64, 57, 49, 99, 66, 41, 16, 54, 97, 26, 96, 35, 81, 71, 28, 83, 8, 80, 50, 63, 68, 45, 5, 52, 58, 78, 17, 76, 89, 94, 67, 53, 88, 47, 29, 74, 21, 39]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1000,0.1,0.1,erx,1001.3404393319604,92.42086696624756,26.415678678864495,"[65, 4, 98, 0, 59, 56, 40, 36, 55, 93, 87, 69, 20, 9, 82, 3, 91, 12, 38, 43, 48, 30, 75, 99, 49, 57, 64, 32, 10, 15, 66, 16, 41, 73, 17, 89, 76, 70, 31, 27, 7, 51, 90, 2, 18, 14, 85, 19, 60, 61, 46, 37, 24, 92, 95, 72, 42, 34, 25, 11, 1, 39, 21, 74, 29, 94, 53, 88, 67, 45, 8, 5, 78, 58, 52, 83, 28, 68, 81, 96, 71, 86, 97, 54, 26, 35, 63, 50, 80, 47, 62, 23, 79, 77, 22, 6, 13, 44, 84, 33]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
